HGS_Score_90D,HGS_Score,GF_Score,Smart_Money_Score,HDM_Giant_Foot,HDM_Bottom_Watch,Total_Mark,Mark_Volume,Ticker,Price_check1m
0.1585741941205457,0.1585741941205457,0.0,0.0,0.0,21.791044776119403,6.211358783541215,35.026191323099496,AAT,0.0
0.21439679992116073,0.21439679992116073,0.0,0.0,0.0,22.46006389776358,4.50375116575029,35.16654470285869,ABS,0.0
0.011694276283870894,0.011694276283870894,0.0,0.0,0.0,20.071942446043167,2.5691932525708463,35.148521349011745,ACC,0.0
0.05162993522154712,0.05162993522154712,0.5448785278152896,0.0,0.7243989031516653,21.061946902654867,2.770059442023059,35.133067557375284,ADG,0.0
0.0,0.0,0.0,0.0,0.0,21.255588865096357,2.7604006706362574,35.439332247557005,ADP,0.0
0.2679398391534175,0.2679398391534175,0.5291572403246212,0.0,0.6975011201363268,21.460674157303373,5.529481855280388,35.02052798889774,ADS,0.0
0.045038330388234654,0.045038330388234654,0.0,0.0,0.0,24.96527777777778,16.07252853473889,35.11022465298688,AGG,0.0
0.2802333674446599,0.2802333674446599,0.5328674969832115,0.0,0.7038109833377906,22.454545454545453,5.087263129929777,35.143843000051284,AGR,0.0
0.07335533926971281,0.07335533926971281,0.0,0.0,0.0,22.02461824953445,1.8580073446729857,35.18090922977393,ANV,0.0
0.03214857253301587,0.03214857253301587,0.5305366320230709,0.0,0.699844254768254,22.392344497607656,9.45211685068297,35.13025532118735,APG,0.0
0.27632241544876807,0.27632241544876807,0.5331178174296428,0.0,0.7042375354489044,21.559055118110237,3.8329811408333123,35.100738662157205,APH,0.0
0.010519137643264493,0.010519137643264493,0.0,0.0,0.0,22.851363636363637,10.877493321214217,35.0419993719393,ASM,0.0
0.0,0.0,0.0,0.0,0.0,20.211081794195252,6.682032590657212,35.266982986031195,AST,0.0
0.03861506089646246,0.03861506089646246,0.5378966363003116,0.0,0.7124012689088326,20.283783783783782,6.808180309221999,35.359325618084185,BAF,0.0
0.3872285662862884,0.3872285662862884,0.0,0.15489142651451537,0.0,20.54139534883721,-0.0481721281621699,35.07819977435689,BCE,0.0
0.26582262742680646,0.26582262742680646,0.0,0.0,0.0,21.67218543046358,7.055177026898231,35.07016330131047,BCM,0.0
0.11349133718298689,0.11349133718298689,0.5299706471935395,0.0,0.6988824409191883,21.910902696365767,6.069010694651511,35.01189077073515,BFC,0.0
0.043055037311127045,0.043055037311127045,0.5312093833569331,0.0,0.7009882120142433,23.859507829977627,11.188058845856062,35.25130996591545,BIC,0.0
0.006186322371145758,0.006186322371145758,0.5308890797911072,0.0,0.7004434666711026,21.203515625,2.514454769347879,35.24878004502285,BID,0.0
0.23724654098566922,0.23724654098566922,0.0,0.0,0.0,21.694915254237287,4.641448811205686,35.04066082737118,BKG,0.0
0.0,0.0,0.0,0.0,0.0,22.229508196721312,8.673784319571409,35.07385841405153,BMC,0.0
0.2691492059667044,0.2691492059667044,0.0,0.0,0.0,21.80281690140845,7.257618918245472,35.15519888469276,BMI,0.0
0.1357372632319459,0.1357372632319459,0.0,0.0,0.0,20.721181147075526,11.064906736490109,35.136258468652066,BMP,0.0
0.2224820595724279,0.2224820595724279,0.0,0.08899282382897117,0.0,20.64,0.22151636458819868,35.01887285502744,BRC,0.0
0.03606045635893573,0.03606045635893573,0.5287245272366472,0.0,0.6967667480824515,24.805194805194805,14.175874529234312,35.10990119600681,BSI,0.0
0.25876690019007564,0.25876690019007564,0.0,0.0,0.0,20.723107142857145,5.663320006081621,35.193693748258696,BVH,0.0
0.003206893763330812,0.003206893763330812,0.5488161497134927,0.0,0.731202319884805,20.66914498141264,6.229760129588675,35.0467794170565,CCI,0.0
0.17058271362647975,0.17058271362647975,0.5292655400378488,0.0,0.6976849689760497,22.56910569105691,9.313258302757545,35.06087636587337,CCL,0.0
0.0,0.0,0.0,0.0,0.0,22.048192771084338,6.432150315853925,35.155074412132365,CDC,0.0
0.14904010599041986,0.14904010599041986,0.0,0.0,0.0,20.423525423728815,1.739246823386232,35.02906176915669,CHP,0.0
0.2932916896846215,0.2932916896846215,0.0,0.0,0.0,21.412429378531073,5.249025104464399,35.022840288351986,CIG,0.0
0.02556716769412274,0.02556716769412274,0.0,0.0,0.0,23.053763440860216,6.342701363256206,35.533682635787414,CII,0.0
0.015003653417388737,0.015003653417388737,0.0,0.0,0.0,24.558139534883722,15.615739324277472,35.0254882890599,CKG,0.0
0.0028165409347991515,0.0028165409347991515,0.0,0.0,0.0,20.968594771241825,3.9586554807583485,35.19061583577712,CLL,0.0
0.28357380342024,0.28357380342024,0.0,0.0,0.0,22.130681818181817,8.585359506524878,35.035617688653225,CMG,0.0
0.2017375899127056,0.2017375899127056,0.0,0.0,0.0,21.88976377952756,7.568881298297029,35.0410656605654,CMX,0.0
0.11782937260465376,0.11782937260465376,0.5274362608364714,0.0,0.6945822678902972,21.608595041322314,6.817085016407221,35.00524865584719,CNG,0.0
0.010586681010940135,0.010586681010940135,0.5368047556554553,0.0,0.7105325515009254,22.5531914893617,0.7948806223724905,38.53498644868543,CRC,0.0
0.05177722444284094,0.05177722444284094,0.5382178393238628,0.0,0.7129513857188008,22.88888888888889,5.3764235845975445,36.29814076196561,CRE,0.0
0.01941130360460272,0.01941130360460272,0.0,0.0,0.0,22.992424242424242,8.923815043502895,35.08456417436912,CSM,0.0
0.014922250236264761,0.014922250236264761,0.0,0.0,0.0,22.642857142857142,10.302365730176737,35.03921187183387,CSV,0.0
